from,to,"light (s)","deep (s)","rem (s)","awake (s)","wake up","Duration to sleep (s)","Duration to wake up (s)","Snoring (s)","Snoring episodes","Average heart rate","Heart rate (min)","Heart rate (max)","Night events"
2021-01-09T00:15:00-05:00,2021-01-09T08:46:00-05:00,16260,13020,0,1380,2,120,120,0,0,42,33,95,
2021-01-10T01:30:00-05:00,2021-01-10T09:52:00-05:00,17760,10680,0,1680,2,120,480,0,0,43,34,54,
2021-01-11T00:09:00-05:00,2021-01-11T08:13:00-05:00,14700,12960,0,1380,2,120,360,0,0,38,32,79,
2021-01-13T23:15:00-05:00,2021-01-14T08:25:00-05:00,19619,11941,0,1440,2,120,60,0,0,41,33,88,
2021-01-14T22:54:00-05:00,2021-01-15T08:19:00-05:00,14400,17460,0,2040,2,300,480,0,0,42,32,92,
2021-01-16T00:37:00-05:00,2021-01-16T07:35:00-05:00,14280,9600,0,1200,2,120,120,0,0,39,33,80,
2021-01-17T00:21:00-05:00,2021-01-17T08:26:00-05:00,15960,11520,0,1620,2,120,120,0,0,41,32,93,
2021-01-17T23:05:00-05:00,2021-01-18T07:40:00-05:00,14700,15240,0,960,2,120,60,0,0,44,32,92,
2021-01-19T00:41:00-05:00,2021-01-19T08:16:00-05:00,13800,12720,0,780,0,120,660,0,0,39,32,59,
2021-01-19T20:40:00-05:00,2021-01-20T07:24:00-05:00,13920,12720,0,1140,2,0,120,0,0,39,33,83,
2021-01-20T23:11:00-05:00,2021-01-21T07:45:00-05:00,10380,18660,0,1800,1,120,360,0,0,44,32,86,
2021-01-21T23:06:00-05:00,2021-01-22T07:21:00-05:00,17580,10320,0,1800,1,120,780,0,0,43,32,88,
2021-01-23T00:05:00-05:00,2021-01-23T07:25:00-05:00,10560,14940,0,900,1,120,0,0,0,44,38,65,
2021-01-24T23:16:00-05:00,2021-01-25T07:29:00-05:00,15540,13440,0,600,0,120,480,0,0,47,32,82,
2021-01-26T23:23:00-05:00,2021-01-27T09:33:00-05:00,20640,12120,0,3840,8,180,60,0,0,40,32,99,
2021-01-27T22:35:00-05:00,2021-01-28T07:32:00-05:00,15000,16140,0,1080,1,120,120,0,0,37,31,84,
2021-01-30T00:01:00-05:00,2021-01-30T07:33:00-05:00,13500,13080,0,540,1,120,240,0,0,43,33,87,
2021-01-30T22:56:00-05:00,2021-01-31T08:28:00-05:00,16200,16620,0,1500,3,120,0,0,0,36,32,47,
2021-01-31T23:45:00-05:00,2021-02-01T08:01:00-05:00,16200,13200,0,360,0,120,240,0,0,41,32,78,
2021-02-01T23:56:00-05:00,2021-02-02T07:26:00-05:00,15720,9600,0,1680,1,120,240,0,0,41,32,80,
2021-02-02T23:05:00-05:00,2021-02-03T07:45:00-05:00,11820,17520,0,1860,1,120,780,0,0,43,32,77,
2021-02-04T00:21:00-05:00,2021-02-04T08:21:00-05:00,18720,9060,0,1020,1,120,0,0,0,39,31,64,
2021-02-06T23:20:00-05:00,2021-02-07T08:10:00-05:00,19380,11880,0,540,1,120,120,0,0,41,32,84,
2021-02-07T23:18:00-05:00,2021-02-08T07:26:00-05:00,12960,15720,0,600,1,240,180,0,0,38,32,64,
2021-02-08T23:04:00-05:00,2021-02-09T09:17:00-05:00,18180,16020,0,2580,2,120,0,0,0,36,33,72,
2021-02-09T23:09:00-05:00,2021-02-10T08:05:00-05:00,14640,13380,0,4140,5,120,0,0,0,40,32,83,
2021-02-10T23:11:00-05:00,2021-02-11T06:57:00-05:00,16260,11400,0,300,0,120,180,0,0,37,33,81,
2021-02-12T23:08:00-05:00,2021-02-13T06:31:00-05:00,14760,11040,0,780,2,120,60,0,0,38,32,47,
2021-02-13T23:10:00-05:00,2021-02-14T08:38:00-05:00,16020,15600,0,2460,2,120,120,0,0,0,0,0,
2021-02-15T00:09:00-05:00,2021-02-15T07:01:00-05:00,12120,10380,0,2220,2,120,120,0,0,40,32,78,
2021-02-15T23:37:00-05:00,2021-02-16T08:38:00-05:00,20940,9780,0,1740,1,120,120,0,0,39,32,92,
